ISO_3,Country,Region,title,authors,source,doi,author_keywords,publication_year,horizon_year,model,scopus_number,WOS_number,Energy efficiency,Climate change,Power,Vehicle,Cement,Forest,Steel/Iron,Buildings,Water,Air Pollution,Electricity,CCS,Transport,Policy-Dvlpt-Eco,Agriculture,Tax,Heat Pump,Consumption,Scenario,Wind/Solar,Costs,Coal,Nuclear,Fuel,Renewable Energies,Flood Risk,Technology,Bioenergy,Urban,Hydrogen,Permit market,Drought,Crop yield,Peak,Oil,Land Use,Target/INDC,Waste,System
ATA,Antarctica,Antarctica,Choosing the future of Antarctica,"Rintoul, SR; Chown, SL; DeConto, RM; England, MH; Fricker, HA; Masson-Delmotte, V; Naish, TR; Siegert, MJ; Xavier, JC",NATURE,10.1038/s41586-018-0173-4,NA,2018,2070,NA,NA,WOS:000435071400043,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATA,Antarctica,Antarctica,Continent-wide risk assessment for the establishment of nonindigenous species in Antarctica,"Chown S.L., Huiskes A.H.L., Gremmen N.J.M., Lee J.E., Terauds A., Crosbie K., Frenot Y., Hughes K.A., Imura S., Kiefer K., Lebouvier M., Raymond B., Tsujimoto M., Ware C., Van De Vijver B., Bergstrom D.M.",Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1119787109,Biological invasions; Biosecurity; Mitigation; Propagule pressure; Unintentional introductions,2012,2100,NA,2-s2.0-84859470838,WOS:000302164200049,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Australia's National Electricity Market: Financing the transition,Nelson J.,Electricity Journal,10.1016/j.tej.2020.106834,Australia emissions target; Paris agreement; Project finance; Renewable energy,2020,2030,NA,2-s2.0-85090136491,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Australia’s water efficiency labelling and standards scheme: Summary of an environmental and economic evaluation,"Fane S., Grossman C., Schlunke A.",Water Science and Technology: Water Supply,10.2166/ws.2019.137,cost benefit analysis; energy and greenhouse; stock modelling; water end-use,2020,2036,NA,2-s2.0-85079379394,WOS:000518596800001,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Changes in fire and carbon dynamics for projected future climates in the south eastern Australian high country,"King K.J., de Ligt R.M., Cary G.J.","18th World IMACS Congress and MODSIM 2009 - International Congress on Modelling and Simulation: Interfacing Modelling and Simulation with Mathematical and Computational Sciences, Proceedings",NA,Carbon; Fire regimes; FIRESCAPE; FullCAM,2020,2070,NA,2-s2.0-85086259748,WOS:000290045002095,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Climate Change Significantly Alters Future Wildfire Mitigation Opportunities in Southeastern Australia,"Di Virgilio G., Evans J.P., Clarke H., Sharples J., Hirsch A.L., Hart M.A.",Geophysical Research Letters,10.1029/2020GL088893,climate modeling; environmental change; fire weather; natural hazards; prescribed burns; risk mitigation,2020,2079,NA,2-s2.0-85089396434,WOS:000560376100021,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Convergence of energy productivity in Australian states and territories: Determinants and forecasts,"Bhattacharya M., Inekwe J.N., Sadorsky P.",Energy Economics,10.1016/j.eneco.2019.104538,Australia; Club convergence; Energy productivity; Forecasting; Renewable energy,2020,2030,NA,2-s2.0-85074868709,WOS:000527274000009,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,"Decarbonization of Australia s energy system: Integrated modeling of the transformation of electricity, transportation, and industrial sectors","Aboumahboub T., Brecha R.J., Shrestha H.B., Fuentes U., Geiges A., Hare W., Schaeer M., Welder L., Gidden M.J.",Energies,10.3390/en13153805,Australia; Decarbonization; Energy system modeling; Paris Agreement; Sector-coupling; Variable renewable energies,2020,2030,NA,2-s2.0-85092721540,WOS:000568144400001,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUS,Australia,Oceania,Predicting changes in distribution of a large coastal shark in the face of the strengthening east australian current,"Niella Y., Smoothey A.F., Peddemors V., Harcourt R.",Marine Ecology Progress Series,10.3354/meps13322,Bull shark; Climate change; East australian current; Population distribution; Shark-human interactions,2020,2030,NA,2-s2.0-85089005320,WOS:000545930000011,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Quantifying Australia's life cycle greenhouse gas emissions for new homes,"Schmidt M., Crawford R.H., Warren-Myers G.",Energy and Buildings,10.1016/j.enbuild.2020.110287,Australia; Greenhouse gas emissions; Housing; Life cycle analysis,2020,2050,NA,2-s2.0-85087977454,WOS:000571218200029,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUS,Australia,Oceania,The effect of technology spillover on CO2 emissions embodied in China-Australia trade,"Huang R., Chen G., Lv G., Malik A., Shi X., Xie X.",Energy Policy,10.1016/j.enpol.2020.111544,China-Australia trade; Embodied CO2 emissions; Input-output; Technology spillover,2020,2030,Input-Output,2-s2.0-85086123888,WOS:000565664700001,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Assessing the implementation of renewable energy policy within the UAE by adopting the australian ‘solar town’ program,"Shareef S., Altan H.",Future Cities and Environment,10.5334/fce.75,Cost Benefit Analysis; Implementing PV; Renewable Energy; Solar Town; UAE,2019,2050,NA,2-s2.0-85075609922,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUS,Australia,Oceania,Australia's part in the age of high-efficiency vessels,"Symington W.P., Nguyen H., Binns J.R.","RINA, Royal Institution of Naval Architects - IMC 2019: Pacific International Maritime Conference",NA,NA,2019,2026,NA,2-s2.0-85084944219,NA,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Future climate change likely to reduce the Australian plague locust (Chortoicetes terminifera) seasonal outbreaks,"Wang B., Deveson E.D., Waters C., Spessa A., Lawton D., Feng P., Liu D.L.",Science of the Total Environment,10.1016/j.scitotenv.2019.02.439,Australian plague locust; Climate change; GCMs; Outbreak area; Outbreak probability; Seasonal outbreaks; Species distribution models,2019,2090,NA,2-s2.0-85062593786,WOS:000462776800086,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,"Geographies of energy transition: the case of high-performing commercial office space in the central business districts of Sydney and Melbourne, Australia","Carr C., McGuirk P., Dowling R.",Australian Geographer,10.1080/00049182.2018.1536319,Australia; built environment; commercial office buildings; Urban energy transitions,2019,2030,NA,2-s2.0-85060596399,WOS:000458999000003,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,"Imagining the net zero emissions city: Urban climate governance in the city of Melbourne, Australia",Pollard S.,The Role of Non-State Actors in the Green Transition: Building a Sustainable Future,10.4324/9780429280399-12,NA,2019,2050,NA,2-s2.0-85084892972,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Linking leucaena to carbon abatement opportunities in Australia,"King K., Burgess R.",Tropical Grasslands-Forrajes Tropicales,10.17138/TGFT(7)273-279,Climate change; Emissions; Emissions reduction fund; Greenhouse gas; National inventory; Offsets integrity standards,2019,2030,NA,2-s2.0-85073409692,WOS:000484380800003,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUS,Australia,Oceania,Mapping change in key soil properties due to climate change over south-eastern Australia,"Gray J.M., Bishop T.F.A.",Soil Research,10.1071/SR18139,climate change; digital soil mapping; nutrients; pH; soil organic carbon,2019,2070,NA,2-s2.0-85068390198,WOS:000475314600004,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
AUS,Australia,Oceania,Modelling Australia's transition to 100% renewable electricity,"Wang C., Dargaville R.","2019 9th International Conference on Power and Energy Systems, ICPES 2019",10.1109/ICPES47639.2019.9105634,100% renewable power system; capacity expansion planning; decarbonisation; least-cost abatement,2019,2050,NA,2-s2.0-85086637860,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUS,Australia,Oceania,"Non-linear interactions between sea-level rise, tides, and geomorphic change in the Tamar Estuary, Australia","Palmer K., Watson C., Fischer A.","Estuarine, Coastal and Shelf Science",10.1016/j.ecss.2019.106247,Estuary; Geomorphology; Infill; Sea-level rise; Tidal distortion; Tidal range,2019,2100,NA,2-s2.0-85067235376,WOS:000478712800020,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Pioneering renewable energy in Australia to serve the oil industry,"Al Kufaishi T., Alameddine J., Al Kufaishi E., Al Kufaishi A.","Society of Petroleum Engineers - SPE Kuwait Oil and Gas Show and Conference 2019, KOGS 2019",NA,NA,2019,2025,NA,2-s2.0-85084166341,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUS,Australia,Oceania,Predicting future plantation forest development in response to policy initiatives: A case study of the Warren River Catchment in Western Australia,"Nery, T; Sadler, R; White, B; Polyakov, M",ENVIRONMENTAL SCIENCE & POLICY,10.1016/j.envsci.2018.11.021,Land-use policy; Plantation forest; Multilayer perceptron; Cellular automata; Western Australia,2019,2025,NA,NA,WOS:000457509100033,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUS,Australia,Oceania,Trials and tribulations of market responses to climate change: Insight through the transformation of the Australian electricity market,"Dodd T., Nelson T.",Australian Journal of Management,10.1177/0312896219874096,Climate change; climate change knowledge; decision-making; energy industry; grand challenge; transition,2019,2050,NA,2-s2.0-85074280105,WOS:000489328300006,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,A scenario process to inform Australian geoengineering policy,"Talberg A., Thomas S., Wiseman J.",Futures,10.1016/j.futures.2018.06.003,Geoengineering; Governance; Policy; Scenarios,2018,2050,NA,2-s2.0-85048958167,WOS:000439683600007,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Application of life cycle assessment approach to deliver low carbon houses at regional level in Western Australia,"Lawania K., Biswas W.K.",International Journal of Life Cycle Assessment,10.1007/s11367-017-1314-y,Cleaner production strategies; Embodied energy; GHG emissions; Life cycle assessment,2018,2050,NA,2-s2.0-85018358063,WOS:000419945000003,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Assessment of contribution of Australia's energy production to CO2 emissions and environmental degradation using statistical dynamic approach,"Sarkodie S.A., Strezov V.",Science of the Total Environment,10.1016/j.scitotenv.2018.05.204,Australia; Disaggregate energy; Econometrics; EKC hypothesis; Emission reduction,2018,2030,NA,2-s2.0-85047261280,WOS:000436806200088,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Australian climate extremes in the 21st century according to a regional climate model ensemble: Implications for health and agriculture,"Herold, N; Ekstrom, M; Kala, J; Goldie, J; Evans, JP",WEATHER AND CLIMATE EXTREMES,10.1016/j.wace.2018.01.001,Australia; Climate extremes; Climate impacts; Health; Agriculture,2018,2079,NA,NA,WOS:000437362800005,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
AUS,Australia,Oceania,Australian government’s ongoing challenge to achieve fuel efficiency standards by 2025 can impact on 2015 Paris agreement,"Mortimore A., Ashiabor H.",Environmental and Planning Law Journal,NA,NA,2018,2025,NA,2-s2.0-85081736901,WOS:000432020900004,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Australian wheat production expected to decrease by the late 21st century,"Wang B., Liu D.L., O'Leary G.J., Asseng S., Macadam I., Lines-Kelly R., Yang X., Clark A., Crean J., Sides T., Xing H., Mi C., Yu Q.",Global Change Biology,10.1111/gcb.14034,adaptation options; APSIM model; climate change; climate suitability; species distribution model; wheat yield,2018,2100,NA,2-s2.0-85040604544,WOS:000433717700016,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUS,Australia,Oceania,Climate change: A brief overview of the science and health impacts for Australia,"Hanna E.G., McIver L.J.",Medical Journal of Australia,10.5694/mja17.00640,NA,2018,2100,NA,2-s2.0-85046301556,WOS:000432602700016,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AUS,Australia,Oceania,Connecting natural gas customers to a low carbon future - An Australian perspective,[No author name available],International Gas Union World Gas Conference Papers,NA,NA,2018,2050,NA,2-s2.0-85072820037,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
AUS,Australia,Oceania,Modeling the carbon budget of the Australian electricity sector's transition to renewable energy,"Howard B.S., Hamilton N.E., Diesendorf M., Wiedmann T.",Renewable Energy,10.1016/j.renene.2018.02.013,Carbon budget; Carbon footprint; CO2 emissions; Energy transition; Scenario modeling,2018,2050,NA,2-s2.0-85043485340,WOS:000433648500064,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Obligations on Australian Companies to Address Climate Change,"Venuti, S; Wilder, M",AUSTRALIAN LAW JOURNAL,NA,NA,2018,2030,NA,NA,WOS:000448782800007,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUS,Australia,Oceania,Opportunities for application of BECCS in the Australian power sector,"Pour N., Webley P.A., Cook P.J.",Applied Energy,10.1016/j.apenergy.2018.04.117,Australian power sector; BECCS; Bioenergy; LCA; Negative emission; Organic waste; Sustainability,2018,2050,NA,2-s2.0-85046791278,WOS:000436901400048,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
AUS,Australia,Oceania,Reducing Australian motor vehicle greenhouse gas emissions,"Stanley J., Ellison R., Loader C., Hensher D.",Transportation Research Part A: Policy and Practice,10.1016/j.tra.2018.01.002,Climate change; Emissions intensity; Fuel tax; Greenhouse gas emissions; Travel behaviour change; Vehicle kilometres travel,2018,2030,NA,2-s2.0-85044868489,WOS:000428495200007,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AUS,Australia,Oceania,Squandering Australia's food security—The environmental and economic costs of our unhealthy diet and the policy Path We're On,"Turner G.M., Larsen K.A., Candy S., Ogilvy S., Ananthapavan J., Moodie M., James S.W., Friel S., Ryan C.J., Lawrence M.A.",Journal of Cleaner Production,10.1016/j.jclepro.2017.07.072,Climate change; Dietary pattern; Economy; Food security; Health; Nutrition; Policy; Scenario modelling,2018,2025,Australian Stocks and Flows,2-s2.0-85024881643,WOS:000440390900134,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,The cost of abatement options to reduce carbon emissions from Australian international flights,"Yin K.-S., Ward A., Dargusch P., Halog A.",International Journal of Sustainable Transportation,10.1080/15568318.2017.1341575,Abatement options; financial decision; greenhouse gas emissions; international air travel; marginal abatement cost; sustainability,2018,2033,NA,2-s2.0-85023184292,WOS:000428107100002,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,The resilience of Australian wind energy to climate change,"Evans J.P., Kay M., Prasad A., Pitman A.",Environmental Research Letters,10.1088/1748-9326/aaa632,Australia; economic costs; NARCliM regional projections; regional climate change; wind energy,2018,2070,NA,2-s2.0-85048307587,WOS:000424232400001,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,"A large-scale renewable electricity supply system by 2030: Solar, wind, energy efficiency, storage and inertia for the South West Interconnected System (SWIS) in Western Australia","Laslett D., Carter C., Creagh C., Jennings P.",Renewable Energy,10.1016/j.renene.2017.06.023,100% renewable energy simulation; Energy efficiency; Power to gas storage; Solar thermal power tower energy storage model,2017,2050,NA,2-s2.0-85020791636,WOS:000407655300063,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUS,Australia,Oceania,Adapting to a warmer climate - Affordable low-carbon retrofits and occupant options for typical Australian houses,"Shiel J.J., Moghtaderi B., Aynsley R., Page A., Clarke J.M.","Proceedings of 33rd PLEA International Conference: Design to Thrive, PLEA 2017",NA,Carbon emissions; Cost-effective retrofits; Existing houses; Extreme climate change; Occupant adaptation,2017,2050,NA,2-s2.0-85085944109,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,An assessment of a proposed ETS in Australia by using the MONASH-Green model,"Nong, D; Meng, S; Siriwardana, M",ENERGY POLICY,10.1016/j.enpol.2017.06.004,Australian economy; Emissions trading scheme; Energy sectors; MONASH-Green model,2017,2030,NA,NA,WOS:000406725800028,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
AUS,Australia,Oceania,Electrifying Australian transport: Hybrid life cycle analysis of a transition to electric light-duty vehicles and renewable electricity,"Wolfram P., Wiedmann T.",Applied Energy,10.1016/j.apenergy.2017.08.219,Electric vehicles; Hybrid life cycle assessment; Multi-regional input-output analysis; Multi-sectoral scenario analysis; Real-world fuel consumption; Renewable energy,2017,2050,Input-Output,2-s2.0-85028592540,WOS:000415768400047,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,"Evaluating Revealed Preferences for Street Tree Cover Targets: A Business Case for Collaborative Investment in Leafier Streetscapes in Brisbane, Australia","Plant, L; Rambaldi, A; Sipe, N",ECOLOGICAL ECONOMICS,10.1016/j.ecolecon.2016.12.026,Street trees; Canopy cover targets; Hedonic pricing model; Business case,2017,2031,NA,NA,WOS:000395219300024,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
AUS,Australia,Oceania,Roles of design in sustainability transitions projects: A case study of Visions and Pathways 2040 project from Australia,"Gaziulusoy A.İ., Ryan C.",Journal of Cleaner Production,10.1016/j.jclepro.2017.06.122,Australia; Case study; Design for sustainability; Design knowledge; Sustainability transitions; Systems design,2017,2040,NA,2-s2.0-85024111099,WOS:000407185500113,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,Carbon footprint scenarios for renewable electricity in Australia,"Wolfram P., Wiedmann T., Diesendorf M.",Journal of Cleaner Production,10.1016/j.jclepro.2016.02.080,Australia; Carbon footprint; Hybrid Life-Cycle Assessment; Input-output analysis; Renewable energy; Scenario analysis,2016,2050,Input-Output,2-s2.0-84977900529,WOS:000375816800024,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
