title,authors,source,doi,d_type,publication_year,horizon_year,author_keywords,scopus_number,WOS_number,prepro_title
The role of decentralized generation and storage technologies in future energy systems planning for a rural agglomeration in Switzerland,"Yazdanie M., Densing M., Wokaun A.",Energy Policy,10.1016/j.enpol.2016.06.010,Article,2016,,Cost optimization model; Decentralized energy; Distributed energy; Energy system model; Rural case study; Storage,2-s2.0-84975469856,WOS:000381530700036,the role of decentralized generation and storage technologies in future energy systems planning for a rural agglomeration in switzerland
The sensitivities of emissions reductions for the mitigation of UK PM2.52.5,"Vieno M., Heal M.R., Williams M.L., Carnell E.J., Nemitz E., Stedman J.R., Reis S.",Atmospheric Chemistry and Physics,10.5194/acp-16-265-2016,Article,2016,,,2-s2.0-84957310341,WOS:000371283900017,the sensitivities of emissions reductions for the mitigation of uk pm2 52 5
The state of the states: Data-driven analysis of the US Clean Power Plan,"Davis C., Bollinger L.A., Dijkema G.P.J.",Renewable and Sustainable Energy Reviews,10.1016/j.rser.2016.01.097,Review,2016,,Decarbonization; Electricity generation; Electricity policy; Energy transition; US electricity sector,2-s2.0-84960873098,WOS:000378448400044,the state of the states data driven analysis of the us clean power plan
"The status of domestic water demand: Supply deficit in the Kathmandu Valley, Nepal","Udmale P., Ishidaira H., Thapa B.R., Shakya N.M.",Water (Switzerland),10.3390/w8050196,Article,2016,,Urbanization; Water consumption; Water resources; Water supply,2-s2.0-84971255112,WOS:000377984300027,the status of domestic water demand supply deficit in the kathmandu valley nepal
The study of the properties of surface ozone using the air quality monitoring data in Mexico city,"Jang, Yu Woon; WOONG, LEE GANG",Korean Journal of Latin American and Caribbean Studies,,J,2016,,Surface ozone; Mexico city; INDC; Air quality; National standards,,KJD:ART002110171,the study of the properties of surface ozone using the air quality monitoring data in mexico city
Thermal Rehabilitation Technology and the Nearly Zero-Energy Buildings. Romanian Representative Education Buildings-Case Study,"Baran, I; Dumitrescu, L; Pescaru, RA","9TH INTERNATIONAL CONFERENCE INTERDISCIPLINARITY IN ENGINEERING, INTER-ENG 2015",10.1016/j.protcy.2016.01.024,S,2016,,Energy efficiency; Thermal insulation; Nearly Zero Energy Building,,WOS:000383949300050,thermal rehabilitation technology and the nearly zero energy buildings romanian representative education buildings case study
Thünen Baseline 2015-2025: Agri-economic projections for Germany,"Offermann F., Banse M., Dedlit C., Gocht A., González-Mellado A., Kreins P., Marquardt S., Osterburg B., Pelikan J., Rösemann C., Salamon P., Sanders J.",Landbauforschung Volkenrode,10.3220/LBF1481641394000,Article,2016,,Agricultural policy; Germany; Impact assessment; Modelling; Modelling Network,2-s2.0-85015203449,WOS:000395042700002,thünen baseline 2015 2025 agri economic projections for germany
Total-factor CO2 emission performance of China's provincial industrial sector: A meta-frontier non-radial Malmquist index approach,"Yao X., Guo C., Shao S., Jiang Z.",Applied Energy,10.1016/j.apenergy.2016.08.064,Article,2016,,CO2 emission performance; Group heterogeneity; Meta-frontier Malmquist Index; Non-radial directional distance function,2-s2.0-84995642760,WOS:000389785200099,total factor co2 emission performance of china s provincial industrial sector a meta frontier non radial malmquist index approach
Towards a low carbon growth in Mexico: Is a double dividend possible? A dynamic general equilibrium assessment,"Landa Rivera G., Reynès F., Islas Cortes I., Bellocq F.-X., Grazi F.",Energy Policy,10.1016/j.enpol.2016.06.012,Article,2016,,Carbon tax; Climate policy; Double dividend; Energy system; Energy-economy modeling,2-s2.0-84973596421,WOS:000381530700026,towards a low carbon growth in mexico is a double dividend possible a dynamic general equilibrium assessment
Transformation scenarios towards a low-carbon bioeconomy in Austria,"Kalt G., Baumann M., Lauk C., Kastner T., Kranzl L., Schipfer F., Lexer M., Rammer W., Schaumberger A., Schriefl E.",Energy Strategy Reviews,10.1016/j.esr.2016.09.004,Article,2016,,Bioeconomy; Biomass; Decarbonisation; Low-carbon economy; Scenario,2-s2.0-84988535618,WOS:000390318600011,transformation scenarios towards a low carbon bioeconomy in austria
Transition to a low-carbon future in China towards 2°C global target,"Kejun J., He C., Liu J.",Enabling Asia to Stabilise the Climate,10.1007/978-981-287-826-7_2,Book Chapter,2016,,China; CO2 mitigation; Emission scenario; Emission target; Energy transition; Modelling,2-s2.0-85026430994,,transition to a low carbon future in china towards 2°c global target
"Transport demand, harmful emissions, environment and health co-benefits in China","HE L.-Y., QIU L.-Y.",Energy Policy,10.1016/j.enpol.2016.07.037,Article,2016,,Air pollution; Health impact; Resident's travel demand; Senarios,2-s2.0-84979498554,WOS:000383292900025,transport demand harmful emissions environment and health co benefits in china
Trends on fuels and lubricants for supporting Thailand Low Carbon Society by 2030,Wuttimongkolchai A.,Annual Fuels and Lubes Asia Conference and Exhibition,,Conference Paper,2016,,,2-s2.0-84978541029,,trends on fuels and lubricants for supporting thailand low carbon society by 2030
U.S. carbon dioxide emission trends and the role of the clean power plan,Ramseur J.L.,"U.S. Carbon Dioxide Emissions: Trends, the Role of the Clean Power Plan and FAQs",,Book Chapter,2016,,,2-s2.0-85043332019,,u s carbon dioxide emission trends and the role of the clean power plan
UK environmental law after Brexit: The culture question,Pontin B.,Environmental Law and Management,,Review,2016,,,2-s2.0-85009188286,,uk environmental law after brexit the culture question
Uncertainties around reductions in China's coal use and CO 2 emissions,"Korsbakken J.I., Peters G.P., Andrew R.M.",Nature Climate Change,10.1038/nclimate2963,Article,2016,,,2-s2.0-84975514331,WOS:000378608900021,uncertainties around reductions in china s coal use and co 2 emissions
Uncertainty in future agro-climate projections in the United States and benefits of greenhouse gas mitigation,"Monier E., Xu L., Snyder R.",Environmental Research Letters,10.1088/1748-9326/11/5/055001,Article,2016,,Agriculture; Benefits of mitigation; Climate change; Crop modeling; Natural variability; Time of emergence; Uncertainty,2-s2.0-84992630802,WOS:000376484300025,uncertainty in future agro climate projections in the united states and benefits of greenhouse gas mitigation
Uncovering driving factors of carbon emissions from China's mining sector,"Shao S., Liu J., Geng Y., Miao Z., Yang Y.",Applied Energy,10.1016/j.apenergy.2016.01.047,Article,2016,,Carbon emissions; China; Factor decomposition; Generalized Divisia Index Method (GDIM); Mining sector; Scenario analysis,2-s2.0-84956863731,WOS:000373756800020,uncovering driving factors of carbon emissions from china s mining sector
Upscaling large scale deep renovation in the Dutch residential sector: a case study,"van Oorschot, JAWH; Hofman, E; Halman, JIM",SUSTAINABLE BUILT ENVIRONMENT TALLINN AND HELSINKI CONFERENCE SBE16 BUILD GREEN AND RENOVATE DEEP,10.1016/j.egypro.2016.09.165,S,2016,,innovation adoption; deep renovation; nZEB retrofit schemes; residential building,,WOS:000392696500038,upscaling large scale deep renovation in the dutch residential sector a case study
"Urban climate change-related effects on extreme heat events in Rostock, Germany","Richter, M",URBAN ECOSYSTEMS,10.1007/s11252-015-0508-y,J,2016,,Urban climate; Urban heat island; Green roof; Climate change; Heat stress; Climate change adaptation,,WOS:000382671000021,urban climate change related effects on extreme heat events in rostock germany
Using surplus nuclear power for hydrogen mobility and power-to-gas in France,"Scamman D., Newborough M.",International Journal of Hydrogen Energy,10.1016/j.ijhydene.2016.04.166,Conference Paper,2016,,Demand side management; Electrolysers; Hydrogen mobility; Nuclear power utilisation; Power-to-gas,2-s2.0-84969194949,WOS:000379106200002,using surplus nuclear power for hydrogen mobility and power to gas in france
Valorization of carbon dioxide by conversion into fuel using renewable energy in Algeria,"Recioui B., Settou N., Khalfi A., Gouareh A., Rahmouni S., Ghedamsi R.",Transportation Research Part D: Transport and Environment,10.1016/j.trd.2015.11.006,Article,2016,,Algeria; Carbon dioxide; Direct methanol fuel cell (DMFC); Geographical Information System (GIS); Methanol; Renewable energy,2-s2.0-84954138173,WOS:000370889700013,valorization of carbon dioxide by conversion into fuel using renewable energy in algeria
Valuation of forest carbon stocks to estimate the potential for result-based payment under REDD+ in Cameroon,"Sonwa D.J., Nlom J.H., Neba S.G.",International Forestry Review,10.1505/146554816819683753,Article,2016,,Cameroon; carbon stock; greenhouse gases; Payment for Environmental Services (PES); REDD+,2-s2.0-85003881489,WOS:000388553900011,valuation of forest carbon stocks to estimate the potential for result based payment under redd in cameroon
Walking a tightrope': India's challenges in meeting the 2030 Sustainable Development Agenda with specific reference to climate change,Pritchard B.,Asia Pacific Journal of Environmental Law,10.4337/apjel.2016.01.06,Review,2016,,BRICs; Climate change policy; Historical cumulative emissions; India; Sustainable development goals,2-s2.0-85042061858,WOS:000453948100007,walking a tightrope india s challenges in meeting the 2030 sustainable development agenda with specific reference to climate change
Water use in China's thermoelectric power sector,"Liao X., Hall J.W., Eyre N.",Global Environmental Change,10.1016/j.gloenvcha.2016.09.007,Article,2016,,China; Energy; Nexus; Policy; Water,2-s2.0-84992065866,WOS:000389732700012,water use in china s thermoelectric power sector
"Water yield, nitrogen and sediment retentions in Northern Japan (Teshio river watershed): land use change scenario analysis","Fan M., Shibata H.",Mitigation and Adaptation Strategies for Global Change,10.1007/s11027-014-9574-3,Article,2016,,Hydrology model; Land use change; Multilevel Bayesian analysis; N retention; Sediment retention; Water yield,2-s2.0-84949625830,WOS:000366370700007,water yield nitrogen and sediment retentions in northern japan teshio river watershed land use change scenario analysis
What cost for more renewables? The incremental cost of renewable generation - An Australian National Electricity Market case study,"Elliston B., Riesz J., MacGill I.",Renewable Energy,10.1016/j.renene.2016.03.080,Article,2016,,100% renewables; 90% renewables; Least cost scenarios,2-s2.0-84962431655,WOS:000377311000012,what cost for more renewables the incremental cost of renewable generation an australian national electricity market case study
Which goals are driving the Energiewende? Making sense of the German Energy Transformation,"Joas, F; Pahle, M; Flachsland, C; Joas, A",ENERGY POLICY,10.1016/j.enpol.2016.04.003,J,2016,,Energiewende; German energy transition; Goals and objectives of energy policy; Co-benefits,,WOS:000381233800005,which goals are driving the energiewende making sense of the german energy transformation
"""It won't be any good to have democracy if we don't have a country"": Climate change and the politics of synecdoche in the Maldives",Hirsch E.,Global Environmental Change,10.1016/j.gloenvcha.2015.09.008,Article,2015,,Climate change; Democracy; Environmentalism; Geopolitical identity; Maldives; Politics of knowledge,2-s2.0-84945248750,WOS:000366767100018,it won t be any good to have democracy if we don t have a country climate change and the politics of synecdoche in the maldives
A CRITICAL REVIEW OF THE PREMISES UNDERLYING KOREA'S NUCLEAR ENERGY POLICY,"Yun, K",ENERGY & ENVIRONMENT,10.1260/0958-305X.26.8.1335,J,2015,,nuclear powergeneration; Korea's energy policy; climate change; renewables,,WOS:000368543000007,a critical review of the premises underlying korea s nuclear energy policy
"A Coal Phase-out in Germany-Clean, Efficient and Affordable?","Heinrichs H.U., Markewitz P.",Energy Procedia,10.1016/j.egypro.2015.07.283,Conference Paper,2015,,CO2 reduction; coal phase-out; Energiewende; energy system model,2-s2.0-84947060101,WOS:000361030004028,a coal phase out in germany clean efficient and affordable
A Study on the EU CCS Policy and its Development,Jeonghyeok,Journal of International Area Studies,,J,2015,,Carbon Capture and Storage; EU CCS Directive; Carbon Dioxide; Storage; Greenhouse gas reduction,,KJD:ART001958908,a study on the eu ccs policy and its development
A brief analysis of the circumstances of the current coal industry and its trends in China,"Liu X., Luan H.",International Journal of Mining and Mineral Engineering,10.1504/IJMME.2015.067953,Article,2015,,Coal industry; Coal production; Develop trend; Efficiency; Energy structure; Mineral; Mining; Safety,2-s2.0-84924770311,,a brief analysis of the circumstances of the current coal industry and its trends in china
A comprehensive analysis of the current and future role of biofuels for transport in the European union (EU) [Análise geral do papel atual e futuro dos biocombustíveis nos transportes na União Europeia (UE)],"Raboni M., Viotti P., Capodaglio A.G.",Revista Ambiente e Agua,10.4136/ambi-agua.1492,Article,2015,,Biodiesel; Bioethanol; European policy; Sustainable mobility,2-s2.0-84918538421,SCIELO:S1980-993X2015000100009,a comprehensive analysis of the current and future role of biofuels for transport in the european union eu
A framework for the exergy analysis of future transport pathways: Application for the United Kingdom transport system 2010-2050,"Byers E.A., Gasparatos A., Serrenho A.C.",Energy,10.1016/j.energy.2015.07.021,Article,2015,,Exergy analysis; GHG emissions; Scenario analysis; Transport; UK; Useful work,2-s2.0-84940440052,WOS:000361413600081,a framework for the exergy analysis of future transport pathways application for the united kingdom transport system 2010 2050
A methodology to assess the impact of 2030 EU climate and energy targets on the national power systems: The Italian case,"Lanati F., Gelmini A., Benini M., Gallanti M.","International Conference on the European Energy Market, EEM",10.1109/EEM.2015.7216734,Conference Paper,2015,,"Climate and energy policy; CO2 emissions, 2030; Cost-benefit analysis; Power system simulation; Renewable generation",2-s2.0-84951989811,WOS:000380377200135,a methodology to assess the impact of 2030 eu climate and energy targets on the national power systems the italian case
A multi-disciplinary approach to evaluate pluvial floods risk under changing climate: The case study of the municipality of Venice (Italy),"Sperotto A., Torresan S., Gallina V., Coppola E., Critto A., Marcomini A.",Science of the Total Environment,10.1016/j.scitotenv.2016.03.150,Article,2015,,Climate change; GIS maps; Pluvial floods; Risk assessment; Urban areas,2-s2.0-84992312697,WOS:000377372400102,a multi disciplinary approach to evaluate pluvial floods risk under changing climate the case study of the municipality of venice italy
A perspective on South African coal fired power station emissions,"Pretorius I., Piketh S., Burger R., Neomagus H.",Journal of Energy in Southern Africa,10.17159/2413-3051/2015/v26i3a2127,Article,2015,,Climate commitments; Coal-fired power station emissions; Emissions projection; Energy crisis; South africa,2-s2.0-84949646544,WOS:000367454700004,a perspective on south african coal fired power station emissions
A practical tool for selecting cost-effective combinations of phosphorus loading mitigation measures in Finnish catchments,"Hjerppe T., Väisänen S.",International Journal of River Basin Management,10.1080/15715124.2015.1012516,Article,2015,,Cost-effectiveness; decision support; phosphorus mitigation measures; programme of measures; water framework directive,2-s2.0-84937514306,WOS:000212558400010,a practical tool for selecting cost effective combinations of phosphorus loading mitigation measures in finnish catchments
A quantitative analysis of Low Carbon Society (LCS) measures in Thai industrial sector,"Selvakkumaran S., Limmeechokchai B., Masui T., Hanaoka T., Matsuoka Y.",Renewable and Sustainable Energy Reviews,10.1016/j.rser.2014.11.026,Review,2015,,AIM/Enduse; CO2 mitigation co-benefits; Counter-measures; Energy security; Low carbon society,2-s2.0-84912121756,WOS:000348880600017,a quantitative analysis of low carbon society lcs measures in thai industrial sector
A review of Chinese CO2 emission projections to 2030: the role of economic structure and policy,"Grubb M., Sha F., Spencer T., Hughes N., Zhang Z., Agnolucci P.",Climate Policy,10.1080/14693062.2015.1101307,Article,2015,,China; climate change; CO2 emissions; emission projections; energy models; macroeconomic effects,2-s2.0-84947210850,WOS:000364543500002,a review of chinese co2 emission projections to 2030 the role of economic structure and policy
"A review on the water and energy sectors in Algeria: Current forecasts, scenario and sustainability issues","Hamiche, AM; Stambouli, AB; Flazi, S",RENEWABLE & SUSTAINABLE ENERGY REVIEWS,10.1016/j.rser.2014.08.024,J,2015,,Water; Energy; Resources; Demand; Renewables; Sustainability,,WOS:000346622400021,a review on the water and energy sectors in algeria current forecasts scenario and sustainability issues
A self-consistent method to assess air quality co-benefits from U.S. climate policies,"Saari R.K., Selin N.E., Rausch S., Thompson T.M.",Journal of the Air and Waste Management Association,10.1080/10962247.2014.959139,Article,2015,,,2-s2.0-84931276980,WOS:000346647400008,a self consistent method to assess air quality co benefits from u s climate policies
A shared water risk assessment for a vulnerable river basin: River Rwizi in Uganda,"Songa, P; Rumohr, J; Musota, R",RIVER BASIN MANAGEMENT VIII,10.2495/RM150191,S,2015,,water risk; water scarcity; water stewardship; catchment; shared risk; water demand; water resources,,WOS:000466718900019,a shared water risk assessment for a vulnerable river basin river rwizi in uganda
"ADDRESSING 2030 EU POLICY FRAMEWORK FOR ENERGY AND CLIMATE: COST, RISK AND ENERGY SECURITY ISSUES","deLlano-Paz, F; Fernandez, PM; Soares, I",PROCEEDINGS OF THE 2ND INTERNATIONAL CONFERENCE ON ENERGY & ENVIRONMENT: BRINGING TOGETHER ENGINEERING AND ECONOMICS,,S,2015,,Portfolio Theory; 2030 EU targets; security of supply,,WOS:000379409300055,addressing 2030 eu policy framework for energy and climate cost risk and energy security issues
Actual Case of Energy Strategy in Algeria and Tunisia,"Ghezloun A., Saidane A., Oucher N., Merabet H.",Energy Procedia,10.1016/j.egypro.2015.07.720,Conference Paper,2015,,Energy efficiency; photovoltaic power plants; Renewable energy; solar thermal power plants; solar water heaters; Sustainable development; Wind farm,2-s2.0-84948431780,WOS:000360574400168,actual case of energy strategy in algeria and tunisia
"Adapting transportation to climate change on federal lands in Washington State, USA","Strauch, RL; Raymond, CL; Rochefort, RM; Hamlet, AF; Lauver, C",CLIMATIC CHANGE,10.1007/s10584-015-1357-7,J,2015,,,,WOS:000353465100010,adapting transportation to climate change on federal lands in washington state usa
"Aflatoxin-producing fungi in maize field soils from sea level to over 2000 masl: A three year study in Sonora, Mexico","Ortega-Beltran, A; Jaime, R; Cotty, PJ",FUNGAL BIOLOGY,10.1016/j.funbio.2014.12.006,J,2015,,Agro-ecological zones; Community structure; Elevation,,WOS:000353003500002,aflatoxin producing fungi in maize field soils from sea level to over 2000 masl a three year study in sonora mexico
Alternative energy and CO2 mitigation in Thai transport sector: An end-use modeling approach and co-benefits analysis,"Thepkhun P., Promjiraprawat K., Limmeechokchai B.",Information (Japan),,Article,2015,,Biofuels; CO2 mitigation; Cost optimization; Thailand-AIM/Enduse; Transport sector,2-s2.0-84928730268,,alternative energy and co2 mitigation in thai transport sector an end use modeling approach and co benefits analysis
Alternative energy technologies for long-term power generation expansion planning and CO2 mitigation in Thailand,"Pattanapongchai A., Limmeechokchai B.","Energy Sources, Part B: Economics, Planning and Policy",10.1080/15567249.2010.545795,Article,2015,,Co-benefits; CO2 mitigation; Cost effectiveness; MARKAL; Renewable energy,2-s2.0-84921263945,WOS:000346192900007,alternative energy technologies for long term power generation expansion planning and co2 mitigation in thailand
An economy-wide analysis of climate change impacts on agriculture and food security in Bangladesh,"Banerjee O., Mahzab M., Raihan S., Islam N.",Climate Change Economics,10.1142/S2010007815500037,Article,2015,,agriculture; Bangladesh; Climate change; computable general; equilibrium model; food security; food self-sufficiency,2-s2.0-85027078120,WOS:000365765700003,an economy wide analysis of climate change impacts on agriculture and food security in bangladesh
An evaluation of risky sites for cattle production in northern Turkey based on temperature/humidity index calculated using GIS and indicator kriging,"Guler, M",METEOROLOGICAL APPLICATIONS,10.1002/met.1462,J,2015,,temperature; humidity index; risk assessment; spatial distribution; GIS; indicator kriging; cattle production,,WOS:000357882500007,an evaluation of risky sites for cattle production in northern turkey based on temperature humidity index calculated using gis and indicator kriging
An impact assessment of sustainable technologies for the Chinese urban residential sector at provincial level,"Xing R., Hanaoka T., Kanamori Y., Dai H., Masui T.",Environmental Research Letters,10.1088/1748-9326/10/6/065001,Article,2015,,Chinese province; co-benefit; GHGemission; urban household,2-s2.0-84937484886,WOS:000356835600020,an impact assessment of sustainable technologies for the chinese urban residential sector at provincial level
An innovative application of the bioeconomic strategies and action plans elaborated by the European union for 2030 at a crossborder level in the Danubian Euroregions,"Matiuti M., Bogdan A.T., Gaspardy A., Diaconescu D.",Journal of Environmental Protection and Ecology,,Article,2015,,Bio-economy; Defense food; Human health; Oncogenous factors; Safety food,2-s2.0-84946728343,WOS:000353528800033,an innovative application of the bioeconomic strategies and action plans elaborated by the european union for 2030 at a crossborder level in the danubian euroregions
Analyses of Energy use and CO2 Emission in Residential Sector: Case Studies in Thailand and Vietnam,"Thuy V.T.H., Limmeechokchai B.",Energy Procedia,10.1016/j.egypro.2015.11.488,Conference Paper,2015,,CO2 emission; Energy use; LEAP model; Residential sector; Thailand and Vietnam,2-s2.0-84971012292,WOS:000368679600043,analyses of energy use and co2 emission in residential sector case studies in thailand and vietnam
Analysis of Energy Efficiency and Bio-Energy in the Land Transportation in Lao P.D.R,"Phoualavanh S., Limmeechokchai B.",Energy Procedia,10.1016/j.egypro.2015.11.465,Conference Paper,2015,,Bio-energy; CO2 mitigation; Energy efficiency; Energy savings; Land transport; Lao PDR; LEAP,2-s2.0-84970979596,WOS:000368679600005,analysis of energy efficiency and bio energy in the land transportation in lao p d r
Analysis of energy security and sustainability in future low carbon scenarios for Brazil,"Lima F., Portugal-Pereira J., Lucena A.F.P., Rochedo P., Cunha J., Lopes Nunes M., Szklo A.S.",Natural Resources Forum,10.1111/1477-8947.12081,Article,2015,,Brazil; Climate change mitigation; Energy assessment modelling; Energy security of supply; Life cycle assessment,2-s2.0-84955319930,WOS:000368842100003,analysis of energy security and sustainability in future low carbon scenarios for brazil
Analysis of impacts of alternative policies aimed at increasing US energy independence and reducing GHG emissions,"O'Rear E.G., Sarica K., Tyner W.E.",Transport Policy,10.1016/j.tranpol.2014.10.016,Article,2015,,CAFE; Climate change; Emissions; Energy security; Fuel tax; Light-duty vehicles,2-s2.0-84911163886,WOS:000347594100013,analysis of impacts of alternative policies aimed at increasing us energy independence and reducing ghg emissions
Analysis of projected temperature changes over Saudi Arabia in the twenty-first century,Sharif M.,Arabian Journal of Geosciences,10.1007/s12517-015-1810-y,Article,2015,,Climate; Departures; Saudi Arabia; Temperature; Wizard,2-s2.0-84942552913,WOS:000361829800080,analysis of projected temperature changes over saudi arabia in the twenty first century
"Application of csm- ceres-maize model for seasonal and multi-decadal predictions of maize yield in under subtropical condition of Chitwan, Nepal","Amgain, LP",JOURNAL OF MAIZE RESEARCH AND DEVELOPMENT,10.3126/jmrd.v1i1.14246,J,2015,,CSM-CERES-Maize; maize yield; seasonal and multi-decadal yield prediction,,WOS:000443824300008,application of csm ceres maize model for seasonal and multi decadal predictions of maize yield in under subtropical condition of chitwan nepal
"Approaches to Climate Change & Health in Cuba: Guillermo Mesa MD MPhil, Director, Disasters & Health, National School of Public Health Paulo Ortiz MS PhD, Senior Researcher, Climate Center, Cuban Meteorology Institute","Gorry, C; Mesa, G; Ortiz, P",MEDICC REVIEW,,J,2015,,,,WOS:000355919400003,approaches to climate change health in cuba guillermo mesa md mphil director disasters health national school of public health paulo ortiz ms phd senior researcher climate center cuban meteorology institute
Are we set for electric cars? Questioning the environmental readiness of India,"Roy P., Motiani M., Dewani P.P.",Transition Studies Review,10.14665/1614-4007-22-2-002,Article,2015,,Electric vehicle; Greenhouse emission,2-s2.0-85018675618,,are we set for electric cars questioning the environmental readiness of india
"Assessing ""gas transition"" pathways to low carbon electricity - An Australian case study","Riesz J., Vithayasrichareon P., MacGill I.",Applied Energy,10.1016/j.apenergy.2015.05.071,Article,2015,,Electricity; Gas; Renewable,2-s2.0-84930615935,WOS:000359875100074,assessing gas transition pathways to low carbon electricity an australian case study
Assessing CO2 emissions of electric vehicles in Germany in 2030,"Jochem P., Babrowski S., Fichtner W.",Transportation Research Part A: Policy and Practice,10.1016/j.tra.2015.05.007,Article,2015,,Assessment; CO2 emissions; Electric vehicles; Energy system; Marginal emissions,2-s2.0-84930662235,WOS:000359169100005,assessing co2 emissions of electric vehicles in germany in 2030
Assessing China 2030 carbon emissions from fossil fuels: Based on system dynamics model,"Tong H., Qu W.",High Technology Letters,10.3772/j.issn.1006-6748.2015.02.009,Article,2015,,Carbon emissions; GDP carbon intensity system simulation; System dynamics model,2-s2.0-84941882408,,assessing china 2030 carbon emissions from fossil fuels based on system dynamics model
"Assessing the generation capacity, energy, and GHG emission reduction value of public electric vehicle recharging infrastructure in the Australian National Electricity Market","Mills G., MacGill I.F.","2014 IEEE International Electric Vehicle Conference, IEVC 2014",10.1109/IEVC.2014.7056093,Conference Paper,2015,,Australian NEM; Charging Infrastructure; Electric Vehicle; Electric Vehicle Integration,2-s2.0-84934300671,WOS:000380394300019,assessing the generation capacity energy and ghg emission reduction value of public electric vehicle recharging infrastructure in the australian national electricity market
Assessing the impact of electricity interconnections to achieve the EU targets for CO2 emissions reduction,"Pina A., Amorim F., Baptista P.","International Conference on the European Energy Market, EEM",10.1109/EEM.2015.7216742,Conference Paper,2015,,2050 EU targets; Electricity Systems; Energy Modeling; European Union,2-s2.0-84951935437,WOS:000380377200143,assessing the impact of electricity interconnections to achieve the eu targets for co2 emissions reduction
Assessing the need for critical minerals to shift the German energy system towards a high proportion of renewables,"Viebahn P., Soukup O., Samadi S., Teubler J., Wiesen K., Ritthoff M.",Renewable and Sustainable Energy Reviews,10.1016/j.rser.2015.04.070,Review,2015,,Critical minerals; Electricity supply; Energy transformation; Germany; Renewable energy,2-s2.0-84966292319,WOS:000357141900053,assessing the need for critical minerals to shift the german energy system towards a high proportion of renewables
Assessment of U.S. domestic airline fuel efficiency since 2010,"Kwan I., Rutherford D.",Transportation Research Record,10.3141/2501-01,Review,2015,,,2-s2.0-84975882781,WOS:000364802900002,assessment of u s domestic airline fuel efficiency since 2010
Assessment of carbon leakage through the industry channel: The EU perspective,"Paroussos L., Fragkos P., Capros P., Fragkiadakis K.",Technological Forecasting and Social Change,10.1016/j.techfore.2014.02.011,Article,2015,,Carbon leakage; Climate policy; GEM-E3; General equilibrium; Industry relocation,2-s2.0-84916887154,WOS:000347605300015,assessment of carbon leakage through the industry channel the eu perspective
Assessment of maize growth and yield using crop models under present and future climate in southwestern Ethiopia,"Araya A., Hoogenboom G., Luedeling E., Hadgu K.M., Kisekka I., Martorano L.G.",Agricultural and Forest Meteorology,10.1016/j.agrformet.2015.08.259,Article,2015,,Climate change; Ethiopia; Maize; Model comparison,2-s2.0-84941054521,WOS:000364730000024,assessment of maize growth and yield using crop models under present and future climate in southwestern ethiopia
Australian retail electricity prices: Can we avoid repeating the rising trend of the past?,"Graham P.W., Brinsmead T., Hatfield-Dodds S.",Energy Policy,10.1016/j.enpol.2015.07.022,Article,2015,,Demand; Distribution; Peak; Price; Retail,2-s2.0-84943599313,WOS:000364246100042,australian retail electricity prices can we avoid repeating the rising trend of the past
Autonomous taxis could greatly reduce greenhouse-gas emissions of US light-duty vehicles,"Greenblatt J.B., Saxena S.",Nature Climate Change,10.1038/nclimate2685,Article,2015,,,2-s2.0-84939783935,WOS:000360338400020,autonomous taxis could greatly reduce greenhouse gas emissions of us light duty vehicles
Bioenergy futures in Sweden - system effects of CO2 reduction and fossil fuel phase-out policies,"Börjesson M., Athanassiadis D., Lundmark R., Ahlgren E.O.",GCB Bioenergy,10.1111/gcbb.12225,Article,2015,,Biofuels; Biomass; Climate policy; Energy system; Greenhouse gas; MARKAL; Model; Scenario,2-s2.0-84938954019,WOS:000359384500017,bioenergy futures in sweden system effects of co2 reduction and fossil fuel phase out policies
Biomass streams in Austria: Drawing a complete picture of biogenic material flows within the national economy,Kalt G.,"Resources, Conservation and Recycling",10.1016/j.resconrec.2014.12.006,Article,2015,,Austria; Bioenergy; Biomass; Material flows; MFA; Sankey diagram,2-s2.0-84921793968,WOS:000350706800009,biomass streams in austria drawing a complete picture of biogenic material flows within the national economy
"CERES-Maize model-based simulation of climate change impacts on maize yields and potential adaptive measures in Heilongjiang Province, China","Lin Y., Wu W., Ge Q.",Journal of the Science of Food and Agriculture,10.1002/jsfa.7024,Article,2015,,Adaptive measures; CERES-Maize model; Climate change impacts; Heilongjiang province,2-s2.0-84942990158,WOS:000362367400008,ceres maize model based simulation of climate change impacts on maize yields and potential adaptive measures in heilongjiang province china
CO2 EMISSIONS AS AN INDICATOR OF SUSTAINABLE TRANSPORT DEVELOPMENT IN THE CZECH REPUBLIC,"Antonova, B; Kucera, T; Lustigova, K; Hyrslova, J; Drahotsky, I","SGEM 2015: POLITICAL SCIENCES, LAW, FINANCE, ECONOMICS AND TOURISM, VOL III: ECONOMICS AND TOURISM",,S,2015,,carbon dioxide; sustainable transport; transport policy,,WOS:000374911400012,co2 emissions as an indicator of sustainable transport development in the czech republic
CO2 and energy efficiency car standards in the EU in the context of a decarbonisation strategy: A model-based policy assessment,"Siskos P., Capros P., De Vita A.",Energy Policy,10.1016/j.enpol.2015.04.024,Article,2015,,Alternative car technologies; Car CO2 standards; Car energy efficiency standards; Passenger transport; Transport and energy modelling; Transport and energy policy,2-s2.0-84937703302,WOS:000358975500003,co2 and energy efficiency car standards in the eu in the context of a decarbonisation strategy a model based policy assessment
