index1,topic_charact,number_of_abs,title
21442,31_drought_precipit_sever_frequenc_index,89,"Analysis of water resources in the Mahanadi River Basin, India under projected climate conditions"
21443,31_drought_precipit_sever_frequenc_index,89,Future Extreme Event Risk in the Rural Northeastern United States
21444,31_drought_precipit_sever_frequenc_index,89,Abundance of adverse environmental conditions during critical stages of crop production in Northern Germany
21445,31_drought_precipit_sever_frequenc_index,89,Effects of climate variability and change on Chinese agriculture: a review
21446,31_drought_precipit_sever_frequenc_index,89,Trends in extreme precipitation over Espírito Santo state-southeast brazil [Tendências de extremos de precipitação para o estado do espírito santo]
21447,31_drought_precipit_sever_frequenc_index,89,Climate change impacts on biodiversity in Switzerland: A review
21448,31_drought_precipit_sever_frequenc_index,89,Warming of the Indian Ocean threatens eastern and southern African food security but could be mitigated by agricultural development
21449,31_drought_precipit_sever_frequenc_index,89,"Multimodel ensemble projections of future climate extreme changes in the Haihe River Basin, China"
21450,31_drought_precipit_sever_frequenc_index,89,Potential influences of global warming on future climate and extreme events in Nigeria
21451,31_drought_precipit_sever_frequenc_index,89,Modelling the impact of climate change on miscanthus and willow for their potential productivity in Poland
21452,31_drought_precipit_sever_frequenc_index,89,Decreasing precipitation occurs in daily extreme precipitation intervals across China in observations and model simulations
21453,31_drought_precipit_sever_frequenc_index,89,Barriers to Realization of Forestry Mitigation Potential in India
21454,31_drought_precipit_sever_frequenc_index,89,Climatesmart agriculture and REDD+ implementation: Indian perspective
21455,31_drought_precipit_sever_frequenc_index,89,Temporal and spatial evaluation of stormwater engineering standards reveals risks and priorities across the United States
21456,31_drought_precipit_sever_frequenc_index,89,Climate Change and the Future of Water Management in Iran
21457,31_drought_precipit_sever_frequenc_index,89,"Impact of climate change on the hydrology of shallow Lake Trasimeno (Umbria, Italy): History, forecasting and management"
21458,31_drought_precipit_sever_frequenc_index,89,Plantation forestry in Brazil: The potential impacts of climatic change
21459,31_drought_precipit_sever_frequenc_index,89,Hourly-resolution analysis of electricity decarbonization in Spain (2017–2030)
21460,31_drought_precipit_sever_frequenc_index,89,Strategic responses to CO2 emission reduction targets drive shift in U.S. electric sector water use
21461,31_drought_precipit_sever_frequenc_index,89,Potential impacts of afforestation on climate change and extreme events in Nigeria
21462,31_drought_precipit_sever_frequenc_index,89,Potential impacts of future reduced aerosols on internal dynamics characteristics of precipitation based on model simulations over southern China
21463,31_drought_precipit_sever_frequenc_index,89,Disproportionate magnitude of climate change in United States national parks
21464,31_drought_precipit_sever_frequenc_index,89,The effect of future reduction in aerosol emissions on climate extremes in China
21465,31_drought_precipit_sever_frequenc_index,89,"Trends in temperature and precipitation extremes in historical (1961–1990) and projected (2061–2090) periods in a data scarce mountain basin, northern Pakistan"
21466,31_drought_precipit_sever_frequenc_index,89,Climate change in Algeria: Vulnerability and strategy of mitigation and adaptation
21467,31_drought_precipit_sever_frequenc_index,89,"Characterization of future climate extremes over Tamil Nadu, India, using high-resolution regional climate model simulation"
21468,31_drought_precipit_sever_frequenc_index,89,Adaptation and mitigation of climate change by improving agriculture in India
21469,31_drought_precipit_sever_frequenc_index,89,Climate change in Colombia: A study to evaluate trends and perspectives for achieving sustainable development from society
21470,31_drought_precipit_sever_frequenc_index,89,"Global climate change and Indian agriculture: Impacts, adaptation and mitigation"
21471,31_drought_precipit_sever_frequenc_index,89,High-resolution projection of climate change and extremity over Israel using COSMO-CLM
21472,31_drought_precipit_sever_frequenc_index,89,Review: Can climate change affect production of quinoa (chenopodium quinoa willd.) crop on chilean Altiplano? [Revisión: ¿puede el cambio climático afectar la producción de quinoa (chenoponium quinoa willd.) en el Altiplano chileno?]
21473,31_drought_precipit_sever_frequenc_index,89,"US surface ozone trends and extremes from 1980 to 2014: Quantifying the roles of rising Asian emissions, domestic controls, wildfires, and climate"
21474,31_drought_precipit_sever_frequenc_index,89,"Chronological trends in maximum and minimum water flows of the Teesta River, Bangladesh, and its implications"
21475,31_drought_precipit_sever_frequenc_index,89,Modelling air temperature and precipitation variability over China
20874,29_hydrogen_cell_chain_produc_product,94,GIS-based method for future prospect of hydrogen demand in the Algerian road transport sector
20875,29_hydrogen_cell_chain_produc_product,94,Impact of Hydrogen fuel for CO2 Emission Reduction in Power Generation Sector in Japan
20876,29_hydrogen_cell_chain_produc_product,94,Integration of a hydrogen economy into the German energy system: an optimising modelling approach
20877,29_hydrogen_cell_chain_produc_product,94,Significance of CO2-free hydrogen globally and for Japan using a long-term global energy system analysis
20878,29_hydrogen_cell_chain_produc_product,94,Options for refuelling hydrogen fuel cell vehicles in Italy
20879,29_hydrogen_cell_chain_produc_product,94,"Feasibility study of ""CO2-free hydrogen energy supply chain"" utilizing Australian brown coal linked with CCS"
20880,29_hydrogen_cell_chain_produc_product,94,Prospects for hydrogen in the German energy system
20881,29_hydrogen_cell_chain_produc_product,94,The feasibility of distributed hydrogen production from renewable energy sources and the financial contribution from UK motorists on environmental grounds
20882,29_hydrogen_cell_chain_produc_product,94,The role of hydrogen in the road transportation sector for a sustainable energy system: A case study of Korea
20883,29_hydrogen_cell_chain_produc_product,94,Large-scale production and transport of hydrogen from Norway to Europe and Japan: Value chain analysis and comparison of liquid hydrogen and ammonia as energy carriers
20884,29_hydrogen_cell_chain_produc_product,94,Potential for hydrogen and Power-to-Liquid in a low-carbon EU energy system using cost optimization
20885,29_hydrogen_cell_chain_produc_product,94,The Italian hydrogen mobility scenario implementing the European directive on alternative fuels infrastructure (DAFI 2014/94/EU)
20886,29_hydrogen_cell_chain_produc_product,94,Hydrogen and fuel cell development in China: A review
20887,29_hydrogen_cell_chain_produc_product,94,The value chain of green hydrogen for fuel cell buses – A case study for the Rhine-Main area in Germany
20888,29_hydrogen_cell_chain_produc_product,94,A strategy for introducing hydrogen stations in Portugal
20889,29_hydrogen_cell_chain_produc_product,94,A hydrogen energy system and prospects for reducing emissions of fossil fuels pollutants in the Ceará state-Brazil
20890,29_hydrogen_cell_chain_produc_product,94,Perspectives of hydrogen automotive applications in Croatia
20891,29_hydrogen_cell_chain_produc_product,94,"Feasibility study of ""CO2 free hydrogen chain"" utilizing Australian brown coal linked with CCS"
20892,29_hydrogen_cell_chain_produc_product,94,Adapting the French nuclear fleet to integrate variable renewable energies via the production of hydrogen: Towards massive production of low carbon hydrogen?
20893,29_hydrogen_cell_chain_produc_product,94,The Role of Hydrogen in Achieving Long Term Japanese Energy System Goals
20894,29_hydrogen_cell_chain_produc_product,94,Hydrogen technologies and developments in Japan
20895,29_hydrogen_cell_chain_produc_product,94,Near-term analysis of a roll-out strategy to introduce fuel cell vehicles and hydrogen stations in Shenzhen China
20896,29_hydrogen_cell_chain_produc_product,94,"Hydrogen market penetration feasibility assessment: Mobility and natural gas markets in the US, Europe, China and Japan"
20897,29_hydrogen_cell_chain_produc_product,94,An outlook towards 2030: Optimization and design of a CCUS supply chain in Germany
20898,29_hydrogen_cell_chain_produc_product,94,Circumstances of Railway Transport Hydrogenization in Poland
20899,29_hydrogen_cell_chain_produc_product,94,Using surplus nuclear power for hydrogen mobility and power-to-gas in France
20900,29_hydrogen_cell_chain_produc_product,94,The regional impact of heavy-duty fuel cell trucks on electricity demand - A case study for Germany
20901,29_hydrogen_cell_chain_produc_product,94,Comparative techno-economic study of solar energy integrated hydrogen supply pathways for hydrogen refueling stations in China
20902,29_hydrogen_cell_chain_produc_product,94,Flexible hydrogen production implementation in the French electric system: An analysis of future economic competitiveness
20903,29_hydrogen_cell_chain_produc_product,94,Role of electricity interconnections and impact of the geographical scale on the French potential of producing hydrogen via electricity surplus by 2035
20904,29_hydrogen_cell_chain_produc_product,94,Hydrogen and the 2050 uk energy consumer
20905,29_hydrogen_cell_chain_produc_product,94,Market penetration analysis of hydrogen vehicles in Norwegian passenger transport towards 2050
20906,29_hydrogen_cell_chain_produc_product,94,A quantitative analysis of Japan's optimal power generation mix in 2050 and the role of CO2-free hydrogen
20907,29_hydrogen_cell_chain_produc_product,94,Viability of hydrogen production from a dedicated offshore wind farm-underground storage in the Irish Sea in 2030
20908,29_hydrogen_cell_chain_produc_product,94,Economic impact of the integration of alternative vehicle technologies into the New Zealand vehicle fleet
20909,29_hydrogen_cell_chain_produc_product,94,Development of a mathematical methodology to investigate biohydrogen production from regional and national agricultural crop residues: A case study of Iran
20910,29_hydrogen_cell_chain_produc_product,94,Possible role of hydrogen in an Austrian sustainable energy system 2050
20911,29_hydrogen_cell_chain_produc_product,94,Towards a sustainable strategy for road transportation in Australia: The potential contribution of hydrogen
20912,29_hydrogen_cell_chain_produc_product,94,Hydrogen in low-carbon energy systems in Japan by 2050: The uncertainties of technology development and implementation
20913,29_hydrogen_cell_chain_produc_product,94,Hydrogen Fuel Cell Vehicle for Mexico City
20914,29_hydrogen_cell_chain_produc_product,94,An outlook towards hydrogen supply chain networks in 2050 — Design of novel fuel infrastructures in Germany
20915,29_hydrogen_cell_chain_produc_product,94,Design of optimization model for a hydrogen supply chain under emission constraints - A case study of Germany
20916,29_hydrogen_cell_chain_produc_product,94,"Techno-economic and behavioural analysis of battery electric, hydrogen fuel cell and hybrid vehicles in a future sustainable road transport system in the UK"
20917,29_hydrogen_cell_chain_produc_product,94,"Well-to-wheel analysis of energy consumption, greenhouse gas and air pollutants emissions of hydrogen fuel cell vehicle in China"
20918,29_hydrogen_cell_chain_produc_product,94,Paths to low-cost hydrogen energy at a scale for transportation applications in the USA and China via liquid-hydrogen distribution networks
20919,29_hydrogen_cell_chain_produc_product,94,The future of the UK gas network
20920,29_hydrogen_cell_chain_produc_product,94,Modelling and Optimization of a Multi-regional Hydrogen Supply System: a Case Study of China
20921,29_hydrogen_cell_chain_produc_product,94,Building a hydrogen infrastructure in the USA
20922,29_hydrogen_cell_chain_produc_product,94,Use of electric vehicles or hydrogen in the Danish transport sector in 2050?
20923,29_hydrogen_cell_chain_produc_product,94,Future Japan power generation sector by introducing hydrogen plant with 80% CO2 emission reduction target: A preliminary analysis
20924,29_hydrogen_cell_chain_produc_product,94,Soft-linking energy systems and GIS models to investigate spatial hydrogen infrastructure development in a low-carbon UK energy system
20925,29_hydrogen_cell_chain_produc_product,94,Chemical utilization of carbonaceous waste and lignite - A case study of sustainable olefin production in Germany
20926,29_hydrogen_cell_chain_produc_product,94,Optimal placement of electrolysers in a German power-to-gas infrastructure
20927,29_hydrogen_cell_chain_produc_product,94,Modelling the integrated power and transport energy system: The role of power-to-gas and hydrogen in long-term scenarios for Italy
20928,29_hydrogen_cell_chain_produc_product,94,Overview of potential use of hydroxyl and hydrogen as an alternative fuel in Colombia
20929,29_hydrogen_cell_chain_produc_product,94,Introducing hydrogen fuel cell vehicles in Malaysia
20930,29_hydrogen_cell_chain_produc_product,94,An optimal sizing of stand-alone hybrid PV-fuel cell-battery to desalinate seawater at Saudi NEOM city
20931,29_hydrogen_cell_chain_produc_product,94,A comparison of alternative technologies to de-carbonize Canada's passenger transportation sector
20932,29_hydrogen_cell_chain_produc_product,94,Soft-linking of a behavioral model for transport with energy system cost optimization applied to hydrogen in EU
20933,29_hydrogen_cell_chain_produc_product,94,Impact of low emissions vehicles on reducing greenhouse gas emissions in Japan
20934,29_hydrogen_cell_chain_produc_product,94,Carbon reduction potential and cost evaluation of different mitigation approaches in China's coal to olefin Industry
20935,29_hydrogen_cell_chain_produc_product,94,Exploring cost-effective transitions to fossil independent transportation in the future energy system of Denmark
20936,29_hydrogen_cell_chain_produc_product,94,Reducing GHG emissions in the United States' transportation sector
20937,29_hydrogen_cell_chain_produc_product,94,Long-term CO2 Emission Reduction from Renewable Energy in Power Sector: The case of Thailand in 2050
20938,29_hydrogen_cell_chain_produc_product,94,Impact of electric vehicles on a future renewable energy-based power system in Europe with a focus on Germany
20939,29_hydrogen_cell_chain_produc_product,94,Economic prospects of advanced biomass-based energy carriers in EU-15 up to 2050
20940,29_hydrogen_cell_chain_produc_product,94,Life cycle emissions assessment of transition to low-carbon vehicles in Japan: combined effects of banning fossil-fueled vehicles and enhancing green hydrogen and electricity
20941,29_hydrogen_cell_chain_produc_product,94,Reduction of greenhouse gases using renewable energies in Mexico 2025
20942,29_hydrogen_cell_chain_produc_product,94,Environmental and energy assessment of alternative fuels for diesel in Thailand
20943,29_hydrogen_cell_chain_produc_product,94,Road transport vehicles in South Africa towards 2050: Factors influencing technology choice and implications for fuel supply
20944,29_hydrogen_cell_chain_produc_product,94,United Kingdom: Study indicates that UK will fail its CO2 aim
20945,29_hydrogen_cell_chain_produc_product,94,Very high penetration of renewable energy sources to the European electricity system in the context of model-based analysis of an energy roadmap towards a low carbon EU economy by 2050
20946,29_hydrogen_cell_chain_produc_product,94,Study on China's future sustainable energy development strategy using MARKAL model
20947,29_hydrogen_cell_chain_produc_product,94,India's energy needs and low carbon options
20948,29_hydrogen_cell_chain_produc_product,94,The future role of natural gas in the UK: A bridge to nowhere?
20949,29_hydrogen_cell_chain_produc_product,94,Picking Winners: Modelling the Costs of Technology-specific Climate Policy in the U.S. Passenger Vehicle Sector
20950,29_hydrogen_cell_chain_produc_product,94,A cost estimation for CO2 reduction and reuse by methanation from cement industry sources in Switzerland
20951,29_hydrogen_cell_chain_produc_product,94,Electric and hydrogen rail: Potential contribution to net zero in the UK
20952,29_hydrogen_cell_chain_produc_product,94,Green methanol from hydrogen and carbon dioxide using geothermal energy and/or hydropower in Iceland or excess renewable electricity in Germany
20953,29_hydrogen_cell_chain_produc_product,94,CO2-reduction potentials and costs of biomass-based alternative energy carriers in Austria
20954,29_hydrogen_cell_chain_produc_product,94,Optimization of CCUS supply chains in the UK: A strategic role for emissions reduction
20955,29_hydrogen_cell_chain_produc_product,94,Pathways to climate-neutral shipping: A Danish case study
20956,29_hydrogen_cell_chain_produc_product,94,Long-term scenarios for reaching climate targets and energy security in UK
20957,29_hydrogen_cell_chain_produc_product,94,Implications of delaying transport decarbonisation in the EU: A systems analysis using the PRIMES model
20958,29_hydrogen_cell_chain_produc_product,94,Power-to-steel: Reducing CO2 through the integration of renewable energy and hydrogen into the German steel industry
20959,29_hydrogen_cell_chain_produc_product,94,Inserting renewable fuels and technologies for transport in Mexico City Metropolitan Area
20960,29_hydrogen_cell_chain_produc_product,94,From niche to market-an agent-based modeling approach for the economic uptake of electro-fuels (power-to-fuel) in the german energy system
20961,29_hydrogen_cell_chain_produc_product,94,"Low-carbon geoenergy resource options in the midland valley of Scotland, UK"
20962,29_hydrogen_cell_chain_produc_product,94,AFTP: Activities and events. 17th World Petroleum Congress Brazil 2002. Climate change and CO2. Elements of the report of the 17th World Petroleum Conference [AFTP: Activités et manifestations. 17th World Petroleum Congress Brazil 2002. Le changement climatique et le CO2. Éléments de compte-rendu du 17ème Congrès Mondial du Pérole]
20963,29_hydrogen_cell_chain_produc_product,94,The role of bioenergy in Ireland’s low carbon future – is it sustainable?
20964,29_hydrogen_cell_chain_produc_product,94,A comparative assessment of electric propulsion systems in the 2030 us light-duty vehicle fleet
20965,29_hydrogen_cell_chain_produc_product,94,Concept and Current State of CO2 Ultimate Reduction in the Steelmaking Process (COURSE50) Aimed at Sustainability in the Japanese Steel Industry
20966,29_hydrogen_cell_chain_produc_product,94,Design of a sure transition scenario on energy mix and consumption structure for Japan to reduce CO2 emission by more than 90% by year 2050
20967,29_hydrogen_cell_chain_produc_product,94,Energy-system modelling of the EU strategy towards climate-neutrality
5727,6_steel_iron_product_materi_save,105,Forecast of steel demand and the availability of depreciated steel scrap in China
5728,6_steel_iron_product_materi_save,105,Scenario analysis on resource and environmental benefits of imported steel scrap for China's steel industry
5729,6_steel_iron_product_materi_save,105,Reducing CO2 Emissions from U.S. Steel Consumption by 70% by 2050.
5730,6_steel_iron_product_materi_save,105,Potential of energy saving and emission reduction and energy efficiency improvement of China's steel industry [中国钢铁工业节能减排潜力及能效提升途径]
5731,6_steel_iron_product_materi_save,105,The German and European steel market: Results of 2015
5732,6_steel_iron_product_materi_save,105,CO2 in the iron and steel industry: An analysis of Japanese emission reduction potentials
5733,6_steel_iron_product_materi_save,105,Reducing energy consumption and CO2 emissions by energy efficiency measures and international trading: A bottom-up modeling for the U.S. iron and steel sector
5734,6_steel_iron_product_materi_save,105,Assessment of CO2 emissions pathways for the Japanese iron and steel industry towards 2030 with consideration of process capacities and operational constraints to flexibly adapt to a range of production levels
5735,6_steel_iron_product_materi_save,105,Primary air pollutant emissions and future prediction of iron and steel industry in China
5736,6_steel_iron_product_materi_save,105,A bottom-up model to estimate the energy efficiency improvement and CO2 emission reduction potentials in the Chinese iron and steel industry
5737,6_steel_iron_product_materi_save,105,Pathways to a low-carbon iron and steel industry in the medium-term – the case of Germany
5738,6_steel_iron_product_materi_save,105,The current situation on CO 2 emissions from the steel industry in Thailand and mitigation options
5739,6_steel_iron_product_materi_save,105,Transforming the coal and steel nexus for China's eco-civilization: Interplay between rail and energy infrastructure
5740,6_steel_iron_product_materi_save,105,Potential of energy savings and CO2 emission reduction in China's iron and steel industry
5741,6_steel_iron_product_materi_save,105,Transitions to material efficiency in the UK steel economy
5742,6_steel_iron_product_materi_save,105,Pathways for Low-Carbon Transition of the Steel Industry—A Swedish Case Study
5743,6_steel_iron_product_materi_save,105,Assessment of energy efficiency improvement and CO2 emission reduction potentials in India's cement and iron &amp; steel industries
5744,6_steel_iron_product_materi_save,105,Potential for energy efficiency improvement and greenhouse gas mitigation in Canada’s iron and steel industry
5745,6_steel_iron_product_materi_save,105,"Long-term scenario forecast of production routes, energy consumption and emissions for Chinese steel industry"
5746,6_steel_iron_product_materi_save,105,Quantitative assessment of energy conservation potential and environmental benefits of an iron and steel plant in China
5747,6_steel_iron_product_materi_save,105,Comprehensive assessment of energy conservation and CO2 emissions mitigation in China's iron and steel industry based on dynamic material flows
5748,6_steel_iron_product_materi_save,105,Assessment of midterm CO2 emissions reduction potential in the iron and steel industry: a case of Japan
5749,6_steel_iron_product_materi_save,105,Forecast scrap generation and emission reduction of china’s steel industry
5750,6_steel_iron_product_materi_save,105,"Technology change in US iron and steel production. Implications for material and energy use, and CO2 emissions"
5751,6_steel_iron_product_materi_save,105,Steel in a circular economy: Global implications of a green shift in China
5752,6_steel_iron_product_materi_save,105,Quantification of Chinese steel cycle flow: Historical status and future options
5753,6_steel_iron_product_materi_save,105,Energy efficiency and CO2 mitigation potential of the Turkish iron and steel industry using the LEAP (long-range energy alternatives planning) system
5754,6_steel_iron_product_materi_save,105,Concept and Current State of CO2 Ultimate Reduction in the Steelmaking Process (COURSE50) Aimed at Sustainability in the Japanese Steel Industry
5755,6_steel_iron_product_materi_save,105,Integrated assessment of co-benefits between energy efficiency improvement and emission mitigation in Chinese iron and steel industry
5756,6_steel_iron_product_materi_save,105,The technical analysis of energy saving and emission reducing in China' s iron and steel industry based on LEAP model
5757,6_steel_iron_product_materi_save,105,Decomposition analysis from demand services to material production: The case of CO2 emissions from steel produced for automobiles in Mexico
5758,6_steel_iron_product_materi_save,105,Socio-technical scenarios for energy-intensive industries: the future of steel production in Germany
5759,6_steel_iron_product_materi_save,105,AIM/End-use Model for Selecting of Low-Carbon Technology in Indonesia's Iron and Steel Industry
5760,6_steel_iron_product_materi_save,105,Solid wastes utilization in the iron and steel industry in China: towards sustainability
5761,6_steel_iron_product_materi_save,105,Power-to-steel: Reducing CO2 through the integration of renewable energy and hydrogen into the German steel industry
5762,6_steel_iron_product_materi_save,105,Assessment of energy saving potential and CO2 abatement cost curve in 2030 for steel industry in Thailand
5763,6_steel_iron_product_materi_save,105,A modeling analysis of the deployment of energy efficient industrial technologies in China under CO2 emission constraints
5764,6_steel_iron_product_materi_save,105,Quantifying the co-benefits of decarbonisation in China's steel sector: An integrated assessment approach
5765,6_steel_iron_product_materi_save,105,Modeling technological change and its impact on energy savings in the U.S. iron and steel sector
5766,6_steel_iron_product_materi_save,105,The China’s Current Situation of Energy-intensive Sectors and its Progress in Carbon Emission Reduction
5767,6_steel_iron_product_materi_save,105,"Developing structural, high-heat flux and plasma facing materials for a near-term DEMO fusion power plant: The EU assessment"
5768,6_steel_iron_product_materi_save,105,Quantitative analysis of the precise energy conservation and emission reduction path in China's iron and steel industry
5769,6_steel_iron_product_materi_save,105,Co-benefits of reducing carbon emissions in China's iron and steel industry
5770,6_steel_iron_product_materi_save,105,A transition pathway for Germany's industry: Which role for energy efficiency?
5771,6_steel_iron_product_materi_save,105,Transformation of India's steel and cement industry in a sustainable 1.5 °C world
5772,6_steel_iron_product_materi_save,105,CO2 emissions mitigation strategy in the Brazilian iron and steel sector–From structural to intensity effects
5773,6_steel_iron_product_materi_save,105,The consequence of energy policies in China: A case study of the iron and steel sector
5774,6_steel_iron_product_materi_save,105,A plant-specific bottom-up approach for assessing the cost-effective energy conservation potential and its ability to compensate rising energy-related costs in the German iron and steel industry
5775,6_steel_iron_product_materi_save,105,Integrated assessment of resource-energy-environment nexus in China's iron and steel industry
5776,6_steel_iron_product_materi_save,105,Toward a low carbon-dematerialization society: Measuring the materials demand and co 2 emissions of building and transport infrastructure construction in China
